County,Last Name,First Name,Middle Name,Suffix,Party,Office,Office Description,District,Date filed,PO Address,PO City,PO State,PO Zip,EMail,Unexpired,Withdrawn,Disqualified,Deceased
Green,TAYLOR,Alex,,,NONPARTISAN,CITY LEGISLATIVE BODY,,,2/27/2026,,,,,,,,,
Green,TAYLOR,Alex,,,NONPARTISAN,CITY LEGISLATIVE BODY,,,2/27/2026,,,,,,,,,
Green,GORIN,Edward,"""ED""",,NONPARTISAN,CITY LEGISLATIVE BODY,,,5/27/2026,,,,,,,,,
Green,COFFEY,Kyle,,,NONPARTISAN,CITY LEGISLATIVE BODY,,,5/30/2026,,,,,,,,,
Green,BORDERS,Chris,,,NONPARTISAN,CITY LEGISLATIVE BODY,,,6/2/2026,,,,,,,,,
Green,COWHERD,Jerry,E.,,NONPARTISAN,CITY LEGISLATIVE BODY,,,6/2/2026,,,,,,,,,
Green,LANDIS,Bobby,GLENN,JR.,NONPARTISAN,CITY LEGISLATIVE BODY,,,6/2/2026,,,,,,,,,
Green,SMYRICHINSKY,Julie,GIVENS,,NONPARTISAN,CITY LEGISLATIVE BODY,,,6/2/2026,,,,,,,,,
Green,ADKINS,James,W.,,REPUBLICAN PARTY,CONSTABLE,,4,11/24/2025,,,,,,,,,
Green,DAVIS,Jerry,L.,,REPUBLICAN PARTY,CONSTABLE,,5,12/19/2025,,,,,,,,,
Green,RAY,Albert,LEE,,REPUBLICAN PARTY,CONSTABLE,,1,1/8/2026,,,,,,,,,
Green,TAYLOR,David,C.,,REPUBLICAN PARTY,CORONER,,,12/5/2025,,,,,,,,,
Green,GOFF,Russell,,,REPUBLICAN PARTY,COUNTY ATTORNEY,,,11/19/2025,,,,,,,,,
Green,BAKER,Jessica,SHOFNER,,REPUBLICAN PARTY,COUNTY CLERK,,,11/5/2025,,,,,,,,,
Green,BONTA,James,,,REPUBLICAN PARTY,COUNTY JUDGE / EXECUTIVE,,,11/5/2025,,,,,,,,,
Green,PEPPER,Tommy,,,REPUBLICAN PARTY,JAILER,,,11/5/2025,,,,,,,,,
Green,MOSS,Heather,,,REPUBLICAN PARTY,MAGISTRATE / JUSTICE OF THE PEACE,,3,11/5/2025,,,,,,,,,
Green,DARNELL,Tim,,,REPUBLICAN PARTY,MAGISTRATE / JUSTICE OF THE PEACE,,2,11/5/2025,,,,,,,,,
Green,AARON,Terry,F.,,REPUBLICAN PARTY,MAGISTRATE / JUSTICE OF THE PEACE,,4,11/7/2025,,,,,,,,,
Green,JUDD,Charles,,,REPUBLICAN PARTY,MAGISTRATE / JUSTICE OF THE PEACE,,5,11/12/2025,,,,,,,,,
Green,PARSON,Andrew,,,REPUBLICAN PARTY,MAGISTRATE / JUSTICE OF THE PEACE,,1,11/22/2025,,,,,,,,,
Green,YOUNG,Marty,,,NONPARTISAN,MAYOR,,,11/26/2025,,,,,,,,,
Green,SHUFFETT,John,MICHAEL,,NONPARTISAN,MAYOR,,,2/11/2026,,,,,,,,,
Green,JUDD,Mark,,,NONPARTISAN,MAYOR,,,5/11/2026,,,,,,,,,
Green,CURRY,Sean,D.,,REPUBLICAN PARTY,PROPERTY VALUATION ADMINISTRATOR,,,11/14/2025,,,,,,,,,
Green,MCCUBBIN,Mike,,,NONPARTISAN,SCHOOL BOARD MEMBER,,3,1/7/2026,,,,,,,,,
Green,DAVIS,Marshel,,,NONPARTISAN,SCHOOL BOARD MEMBER,,5,1/16/2026,,,,,,,,,
Green,HUDGINS,Kevin,RAY,,NONPARTISAN,SCHOOL BOARD MEMBER,,4,3/16/2026,,,,,,,,,
Green,MARCUM,Frederick,DANIEL,,NONPARTISAN,SCHOOL BOARD MEMBER,,4,3/25/2026,,,,,,,,,
Green,MUNCY,Jennifer,,,NONPARTISAN,SCHOOL BOARD MEMBER,,4,4/2/2026,,,,,,,,,
Green,BISHOP,Emily,,,NONPARTISAN,SCHOOL BOARD MEMBER,,5,4/24/2026,,,,,,,,,
Green,BISHOP,Shelley,,,NONPARTISAN,SCHOOL BOARD MEMBER,,4,5/13/2026,,,,,,,,,
Green,FERGUSON,Charity,,,NONPARTISAN,SCHOOL BOARD MEMBER,,5,5/15/2026,,,,,,,,,
Green,BOBROWSKI,Garth,D.,,NONPARTISAN,SCHOOL BOARD MEMBER,,4,5/18/2026,,,,,,,,,
Green,BEARD,Robby,,,REPUBLICAN PARTY,SHERIFF,,,11/13/2025,,,,,,,,,
Green,GRAVES,Ronnie,,,NONPARTISAN,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,,4,4/24/2026,,,,,,,,,
Green,SIDEBOTTOM,Paul,STACY,,NONPARTISAN,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,,3,5/22/2026,,,,,,,,,
Green,BONTA,Will,,,NONPARTISAN,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,,5,6/2/2026,,,,,,,,,
Green,FERGUSON,Brian,,,REPUBLICAN PARTY,SURVEYOR,,,12/18/2025,,,,,,,,,
